author name,age,gender,school attended,job,image url of author,author details,location
Alex Wilson,47,Male,University of Miami,I have a team of 6 in my call center for real estate,https://www.dnc.com/sites/default/files/blog/images/alex.png,Real estate Broker and investor. I run a TCPA compliant real estate call center in Miami.  Love my Dolphins.,Florida
Amelia Lily,45,Female,Denver state, 20 years in the Customer Service Strategy business. I keep it simple,https://www.dnc.com/sites/default/files/blog/images/amelia.png,Create Loyal Customer Advocates. If you want a good business you need happy callers. I lead a team focused on improving caller satisfaction through empathy; active listening; and resolving issues promptly.,Denver
Ashley Miller,27,Female,University of Virginia ,Customer Service Call Center Rep for 3 years. Handle inbound calls and address customer complaints and issues. Live in Miami,https://www.dnc.com/sites/default/files/blog/images/ashley.png,Conflict Resolution: I have a proven track record of effectively handling escalated customer inquiries; ensuring customer concerns are addressed promptly and professionally within regulatory guidelines.,Miami
Bill Wright,36,Male,Ohio State,Inbound Sales Call Center Rep for 4 years. Handle incoming calls to sell software to new clients.,https://www.dnc.com/sites/default/files/blog/images/bill.png,Oversee team that handles IT and tech support calls. My team provides excellent technical support while adhering to all data privacy and compliance regulations.,Green Bay - WI
Chris Lee,39, Male, Northwestern,Marketing Manager for 10 years. Oversee call center team and marketing campaigns. Live in Chicago and love the Bears.,https://www.dnc.com/sites/default/files/blog/images/chris.png,Training and Development: I have designed and executed TCPA compliant training programs that empower team members with the knowledge and skills required to excel in their roles.,Ohio
Emma Smith,33,,Notre Dame,I work for the top 2 banks in the world. I have 20 years of experience in being a telephone banker and Finance is my goal in life. I help empower my callers to make customers and prospects feel special. Reduce staff busywork so they can deliver personalizedhttps://www.dnc.com/sites/default/files/blog/images/ empathetic Calls. Streamlined workflows and technology let staff focus on customershttps://www.dnc.com/sites/default/files/blog/images/ not repetitive tasks.,https://www.dnc.com/sites/default/files/blog/images/emma.png,Big Manchester United fan. But always ensure sports talk adheres to company policy.,Chicago
Ethan Taylor,35,Male,Texas A&M University,I run a Next Generation Retail Contact Center Telemarketing group,https://www.dnc.com/sites/default/files/blog/images/ethan.png.,I believe that if we Automate Customer Workflows while maintaining TCPA compliance; it Empowers agents to care for your customers across the buyer’s journey. 200X sales award winner.,Austin Texas
Jack Baker,37,Male,UC San Diego,Senior Mortgage Loan Officer 3rd largest US bank.  As an experienced closer I meet the needs of the financial consumer regarding all stages of home buying and refinancing.,https://www.dnc.com/sites/default/files/blog/images/jack.png,Insurance & Investment Licenses. Adept at assisting clients in navigating the complexities of home buying; from pre-qualification to closing; while complying with all regulations. I hail from San Diego CA; I love the Lakers.,San Diego
James Rodriguez,62, Male, Boston College,Sales Manager for 12 years. Oversee team of sales reps to hit targets. Live in Boston and love the Patriots.,https://www.dnc.com/sites/default/files/blog/images/james.png,Enabled retention Strategies: Developed and implemented effective retention strategies; including special offers; incentives; and personalized benefits; to entice customers to stay with the company; while maintaining regulatory compliance., Boston
Jamie Davis,50,Male,University of Chicago,Telemarketing Supervisor,https://www.dnc.com/sites/default/files/blog/images/jamie.png,I wrote the book on Telemarketing to Increase Call Center Productivity. Telemarketing is about lowering your Cost per Lead and delivering higher Close Rates. I run a 20-person Retail Telemarketing company doing Lead development so teams develop prospects; adhering to calling laws., Chicago
John Daves,41,Male,University of Minnesota,Help Desk Manager at large tech company in Silicon Valley for 15 years. Handle tier 1 tech support calls and assign to proper department.,https://www.dnc.com/sites/default/files/blog/images/john.png,Expert in handling tier 1 tech support calls; swiftly diagnosing issues; and delivering efficient solutions or escalating to the appropriate department when necessary. Love cutting-edge tech products; services; and solutions to offer accurate information and guidance to clients in a TCPA compliant manner. Big fan of the 49ers.,San Francisco
